,dstNode,Packets,Kilobytes
0,Edge,890983.008439997,127334.03651739414
1,R1,161274.00213940826,44997.79765795037
2,R10,280716.0037100014,39643.037579499905
3,R11,131363.00006999966,3115.1480987500026
4,R13,711923.007710001,85690.80711432034
5,R14,176113.49892999962,10320.280476749858
6,R15,140292.49870999972,12291.789902750035
7,R16,131361.99960999985,12100.683056374952
8,R17,427386.5030900021,55270.559201749944
9,R18,1004574.0141299907,118362.20729362077
10,R19,810213.519979993,143202.55220282197
11,R2,465987.0112894085,82299.94406169628
12,R20,337793.5028700019,47318.83658349988
13,R21,655272.5040699969,51887.29582259857
14,R22,260021.50279000142,27319.617632149657
15,R23,580553.0065800042,73592.50864732155
16,R3,370544.00814940967,68115.96484332404
17,R4,167221.00083000012,15971.956034249686
18,R6,681625.0109694035,128196.72325006603
19,R7,176113.49892999962,10320.280476749858
20,R8,657324.0106399986,108096.28937732591
21,R9,878326.0112094039,146275.70229389792
